,entity,description,category,node_occurence_flag
576,chapter 9,"A reference to a future chapter in the book, which will cover a better way of upgrading pods.",book,Single
580,scale,a command used to change the number of replicas in a ReplicationController,command,Single
582,ReplicationController resource,a Kubernetes resource that defines the configuration for a set of pods,resource,Single
586,text editor,an application used for editing text files,software,Single
587,KUBE_EDITOR,an environment variable that specifies the default text editor to use with kubectl edit,environment variable,Single
588,EDITOR,an environment variable that specifies the default text editor to use for editing files,environment variable,Single
593,selector.app,The field in the ReplicationController's definition that specifies the label selector for the pods managed by the controller.,software,Single
595,ReplicationController's definition,The configuration file that defines the ReplicationController's desired state and behavior.,software,Single
596,desired state,The specified number of replicas or other settings that define how a Kubernetes resource should behave.,software,Single
598,horizontal pod auto-scaling,A feature in Kubernetes that automatically scales the number of replicas based on demand or other conditions.,software,Single
601,--cascade=false,An option passed to the kubectl delete command to keep pods running when deleting a ReplicationController.,option,Single
610,pod selectors,Selectors used to match pods in a ReplicaSet or ReplicationController,software,Single
622,metadata.labels,"Labels attached to the pod, used for matching and selection",software,Single
623,spec.containers,A list of containers in the pod template,software,Single
624,containers.name,The name of a container in the pod template,software,Single
629,selector.matchLabels,"A way to define label selectors for a ReplicaSet, specifying the labels directly under the selector property.",software,Single
634,Pods Status,"A field that displays the status of pods managed by a ReplicaSet, including running, waiting, succeeded, and failed states.",software,Single
635,apiGroup,The group name for a Kubernetes API resource.,software,Single
636,v1beta2,A specific version of the apps API group.,software,Single
637,core API group,A category of Kubernetes resources that do not require an explicit API group in their apiVersion field.,software,Single
645,In,An operator that matches if the label's value is one of the specified values.,software,Single
646,NotIn,An operator that matches if the label's value is not any of the specified values.,software,Single
647,Exists,"An operator that matches if a pod has a label with the specified key, regardless of its value.",software,Single
648,DoesNotExist,An operator that matches if a pod does not have a label with the specified key.,software,Single
666,ssd-monitor,The name of the DaemonSet and pod.,application,Single
669,ssd,The value of the disk label.,hardware,Single
673,luksa/ssd-monitor,The name of the Docker image.,software,Single
676,ssd-monitor-daemonset.yaml,A YAML file containing the configuration for the DaemonSet.,software,Single
679,disk=ssd,A label that identifies nodes with solid-state drives (SSDs).,label,Single
680,disk=hdd,A label that identifies nodes with hard disk drives (HDDs).,label,Single
698,batch API group,A group of APIs related to batch processing,application,Single
699,v1 API version,The version of the Kubernetes API used for batch processing,software,Single
710,OnFailure,A value of the restart policy field that indicates a pod should be restarted only if it fails,value,Single
714,luksa/batch-job,The name of an image used to create a container,image,Single
715,pod spec property,A property that defaults to Always,software,Single
716,Job pods,Pods managed by a Job resource,software,Single
717,restart policy,Setting that prevents the container from being restarted when it finishes,software,Single
718,kubectl create command,Command used to create a Job resource,command,Single
720,pod list,List of running pods,output,Single
721,--show-all switch,Switch used to show completed pods in the pod list,command,Single
724,completions property,Property used to set the number of pod instances in a Job,software,Single
725,parallelism property,Property used to set the number of pod instances running in parallel,software,Single
728,completions,A Job property that specifies how many times the Job's pod should run.,property,Single
729,parallelism,A Job property that specifies how many pods are allowed to run in parallel.,property,Single
737,kubectl scale command,A command used to scale a Job or ReplicationController by changing its parallelism property.,command,Single
740,spec.backoffLimit field,A field in the Job manifest that configures how many times a Job can be retried before it is marked as failed.,field,Single
742,cron format,A well-known format for specifying a schedule for running a job.,format,Single
743,Job template,A template used to create a Job resource according to the CronJob object.,template,Single
744,pod replicas,One or more pod replicas created and started according to the Job's pod template.,process,Single
747,jobTemplate,A template from which Job objects will be created by the CronJob resource.,application,Single
753,minute,"A unit of time in the cron schedule format, representing minutes.",process,Single
754,hour,"A unit of time in the cron schedule format, representing hours.",process,Single
755,day of month,"A unit of time in the cron schedule format, representing days of the month.",process,Single
756,month,"A unit of time in the cron schedule format, representing months.",process,Single
757,day of week,"A unit of time in the cron schedule format, representing days of the week.",process,Single
759,startingDeadlineSeconds,A field in the CronJob specification that specifies the deadline for starting a job.,process,Single
767,desired replica count,The desired number of replicas for a ReplicationController.,process,Single
781,sysadmin,system administrator configuring non-Kubernetes environment,personnel,Single
784,external clients,clients outside the cluster requesting services from pods,application,Single
785,external services,services provided by entities outside the cluster,software,Single
786,pod readiness,controlling whether a pod is ready to be part of a service or not,process,Single
791,Kubernetes Service,"Resource that makes a single, constant point of entry to a group of pods providing the same service",framework,Single
792,IP address and port,Constant point of entry for a service,network,Single
793,Frontend web server,Multiple pods providing the same service,application,Single
794,Backend database server,Single pod providing a service,database,Single
795,Service for frontend pods,Stable address for external clients to connect to the pods,application,Single
796,Service for backend pod,Stable address for the backend pod,application,Single
802,Node.js app,web application framework,software,Single
811,kubia-svc.yaml,a YAML file that defines a service called kubia,file,Single
825,get svc,command,software,Single
836,service IP,IP address of the service,network,Single
842,node.js,JavaScript runtime environment for building scalable server-side applications,software,Single
844,HTTP response,Response sent from server to client using the HTTP protocol,network,Single
846,-s option,Option used with kubectl exec to specify an alternate API server,command,Single
847,--,Double dash character used to signal the end of command options for kubectl,command,Single
850,sessionAffinity property,sets the service's session affinity to ClientIP or None,property,Single
851,ClientIP,a value for the sessionAffinity property that redirects all requests from the same client IP to the same pod,value,Single
852,None,the default value for the sessionAffinity property,value,Single
853,Kubernetes services,don't operate at the HTTP level and don't care about the payload they carry,application,Single
854,TCP packets,and UDP packets are handled by Kubernetes services,protocol,Single
855,HTTP protocol,cookies are a construct of the HTTP protocol and aren't known to Kubernetes services,protocol,Single
856,cookies,a construct of the HTTP protocol that can't be used for session affinity in Kubernetes services,construct,Single
859,multi-port service,"a service that exposes multiple ports, including HTTP and HTTPS",service,Single
860,ports 80 and 443,can be forwarded to the pod's ports 8080 and 8443 using a single multi-port service,port,Single
861,pod's ports 8080 and 8443,can be exposed through a single cluster IP using a multi-port service,port,Single
864,https,"The HTTPS port, which maps to pod's port 8443",software,Single
878,env command,Lists environment variables inside a container,command,Single
879,Environment Variables,Variables set by Kubernetes to point to services,process,Single
880,Port numbers,Numbers assigned to ports for communication between containers,hardware,Single
881,IP addresses,Addresses used for communication between containers,hardware,Single
883,Service spec,Configuration file for a service,configuration,Single
891,KUBIA_SERVICE_HOST,environment variable,process,Single
892,KUBIA_SERVICE_PORT,environment variable,process,Single
893,BACKEND_DATABASE_SERVICE_HOST,environment variable,process,Single
894,BACKEND_DATABASE_SERVICE_PORT,environment variable,process,Single
896,DNS server,service,application,Single
902,backend-database,service name,database,Single
904,svc.cluster.local,configurable cluster domain suffix used in all cluster local service names,network,Single
905,client,must know the service's port number,application,Single
911,http://kubia.default.svc.cluster.local,FQDN of the kubia service,network,Single
912,http://kubia.default,simplified FQDN of the kubia service,network,Single
914,http://kubia,the URL of the Kubia service,application,Single
915,kubia-8awf3,the hostname of the Kubia service,application,Single
916,service's name,the name of the service used as the hostname in the requested URL,software,Single
917,/etc/resolv.conf,a file in the container that configures the DNS resolver,file,Single
918,DNS resolver,a component that resolves domain names to IP addresses,software,Single
920,kubia.default.svc.cluster.local,the fully qualified domain name (FQDN) of the Kubia service,application,Single
923,service endpoints,"a resource that sits between services and pods, providing load balancing and discovery",software,Single
928,svc kubia,service name and selector,application,Single
931,80/TCP,service port and protocol,application,Single
933,kubectl get endpoints kubia,command to display Endpoints resource information,software,Single
934,NAME ENDPOINTS AGE,format of Endpoints resource output,application,Single
936,"10.108.1.4:8080,10.108.2.5:8080,10.108.2.6:8080",list of IP addresses and ports exposing a service,database,Single
943,external-service,service name and selector,application,Single
946,endpoints resource,A separate resource and not an attribute of a service.,database,Single
947,yaml manifest,The YAML manifest for the Endpoints object.,software,Single
952,subsets,A list of subsets for the Endpoints resource.,database,Single
953,addresses,A list of IP addresses for the Endpoints resource.,network,Single
954,ip,An individual IP address for the Endpoints resource.,hardware,Single
959,connections,Connections to the service's IP:port pair will be load balanced between the service’s endpoints.,network,Single
962,service name,"The name of the service, which must match the name of the Endpoints object.",application,Single
963,endpoints IP,The IPs of the endpoints that the service will forward connections to.,network,Single
968,ExternalName,Type of service that serves as an alias for an external service,software,Single
975,externalName,"Field in Service resource definition, used to point to an external service",hardware,Single
979,DNS level,Implementation level of ExternalName services,network,Single
990,External client,"A client outside the Kubernetes cluster that can access services exposed to it through NodePort, LoadBalancer, or Ingress resources.",hardware/network,Single
1001,nodePort,Node port number for the Service resource,software,Single
1006,svc,Short form for Service resource,software,Single
1008,CLUSTER-IP,Cluster IP address for the Service resource,network,Single
1011,<nodes>,Placeholder for node IP addresses,network,Single
1012,80:30123/TCP,Port number and protocol for the Service resource,software,Single
1013,10.111.254.223,Cluster IP address for the Service resource,network,Single
1014,<1st node's IP>,Placeholder for first node's IP address,network,Single
1015,30123,Node port number for the Service resource,software,Single
1017,Firewall Rules,"rules that control incoming and outgoing network traffic based on source and destination IP addresses, ports, and protocols",hardware/network,Single
1018,gcloud compute firewall-rules create,a command to create a new firewall rule in Google Cloud Platform,software/command,Single
1019,kubia-svc-rule,a specific firewall rule created for the Kubia service,hardware/network,Single
1020,tcp:30123,a protocol and port number combination that allows incoming TCP connections on port 30123,software/protocol,Single
1025,Port 30123,a specific port number used by the NodePort service,hardware/computer/port,Single
1032,JSONPath,Query language for JSON data,software,Single
1037,ExternalIP,Type of IP address assigned to a node,network,Single
1046,APIVersion,a field in the YAML manifest that specifies the version of the Kubernetes API being used,"software,hardware",Single
1050,Port,a field in the YAML manifest that specifies a port number for the service,"software,application",Single
1051,TargetPort,a field in the YAML manifest that specifies the port on which the pod is listening,"software,application",Single
1056,kubectl explain,command to check service's session affinity,command,Single
1058,keep-alive connections,browser requests sent through single connection,process,Single
1059,session affinity,service setting to determine pod selection,software,Single
1061,external client,client connecting to service through load balancer,hardware,Single
1063,IP: 130.211.53.173:80,load balancer IP address and port,network,Single
1066,IP: 130.211.99.206,node IP address,network,Single
1068,IP: 130.211.97.55,node IP address,network,Single
1069,Port 32143,port used by service,software,Single
1078,externalTrafficPolicy,a field in the service's spec section that determines how external traffic is handled,software,Single
1079,Local,a value for the externalTrafficPolicy field that causes the service proxy to choose a locally running pod,hardware,Single
1080,client's IP,The client's IP address that is not preserved when connecting to a service through a node port.,network,Single
1081,Source Network Address Translation (SNAT),A process that changes the source IP of packets received through a node port.,process,Single
1083,Local external traffic policy,A policy that affects the preservation of the client's IP when connecting to a service through a node port.,policy,Single
1085,LoadBalancer service,A type of service that requires its own load balancer with its own public IP address.,service,Single
1086,public IP address,An IP address that is accessible from outside the cluster.,network,Single
1087,host and path in the request,The components of an HTTP request that determine which service to forward the request to.,application,Single
1088,Service using Local external traffic policy,A type of service that may lead to uneven load distribution across pods.,service,Single
1097,Ingress add-on,An optional feature in Minikube that enables the Ingress functionality.,software,Single
1099,Kube-dns,A service that provides DNS resolution for pods in a Kubernetes cluster.,software,Single
1119,NAMESPACE,column header for the namespace column,key,Single
1125,default-http-backend-5wb0h,name of the Ingress controller pod,process,Single
1126,kube-addon-manager-minikube,name of the Kubernetes addon manager process,process,Single
1127,kube-dns-v20-101vq,name of the Kubernetes DNS service pod,process,Single
1128,kubernetes-dashboard-jxd9l,name of the Kubernetes dashboard process,process,Single
1129,nginx-ingress-controller-gdts0,name of the Nginx Ingress controller process,process,Single
1136,get ingresses,A command used to list Ingress resources in a Kubernetes cluster.,command,Single
1137,ingresses,A resource that exposes services externally through HTTP requests.,application,Single
1138,DNS servers,Servers that resolve domain names to IP addresses.,network,Single
1139,/etc/hosts,A file on Unix-like systems that maps hostnames to IP addresses.,file system,Single
1143,End-points object,An object that stores information about the IP addresses of pods associated with a service.,database,Single
1145,Host header,A header in an HTTP request that specifies the hostname or IP address of the server being requested.,header,Single
1164,TLS,A protocol for encrypting communication between clients and servers.,network,Single
1168,openssl,A command-line tool for generating and managing SSL/TLS certificates and private keys.,software,Single
1169,genrsa,A command used to generate a new RSA key pair.,command,Single
1170,req,A command used to create a certificate signing request (CSR).,command,Single
1171,x509,A command used to create a self-signed X.509 certificate.,command,Single
1174,tls-secret,name of the Secret resource,database,Single
1178,CertificateSigningRequest,resource to request a signed certificate,application,Single
1179,csr,short form for CertificateSigningRequest,software,Single
1180,kubia-ingress-tls.yaml,file containing the Ingress configuration,hardware,Single
1181,tls,attribute of the Ingress resource,software,Single
1183,kubia.example.com,hostname for which TLS connections will be accepted,network,Single
1189,liveness probes,A mechanism to periodically check if a container is running and responding correctly.,process,Single
1196,GET / request,HTTP request method,"network,application",Single
1199,TCP Socket probe,Type of readiness probe that opens a TCP connection,"process,container",Single
1206,TCP connection,Network communication protocol,"network,application",Single
1213,container specification,Definition of a container in the pod template,application,Single
1214,readiness probe definition,Periodic command to check if a file exists inside the container,process,Single
1215,ls command,Command to list files and directories inside the container,command,Single
1216,exit code zero,Return value indicating success or failure of the readiness probe,error,Single
1217,file /var/ready,File used by the readiness probe to determine pod readiness,process,Single
1222,READY column,column in kubectl output showing pod readiness,output,Single
1225,touch command,command to create a new file,command,Single
1229,kubia-loadbalancer,service name,application,Single
1237,pod labels,Metadata associated with a pod that can be used to identify or filter pods,metadata,Single
1242,DNS lookups,a way to resolve service names to pod IPs,process,Single
1243,Cluster IP,a virtual IP address assigned to a service by Kubernetes,network,Single
1244,Service specification,the configuration file that defines a service,software,Single
1245,clusterIP field,a field in the service specification that determines whether a cluster IP is assigned,process,Single
1261,dig binary,a binary used for DNS-related actions,binary,Single
1262,tutum/dnsutils container image,an image containing the binaries needed for DNS-related actions,image,Single
1264,--generator=run-pod/v1 option,an option used to create a pod directly without any kind of ReplicationController or similar behind it,option,Single
1266,DNS A records,the IP addresses returned by a DNS server for a headless service,object,Single
1267,kubia-headless.default.svc.cluster.local FQDN,a fully qualified domain name used to perform DNS lookups,domain name,Single
1268,kubectl get pods command,a command to list running pods with their IPs,command,Single
1276,headless services,services that don't have an IP address,software,Single
1278,DNS round-robin,mechanism for distributing traffic across multiple pods,process,Single
1281,service.alpha.kubernetes.io/tolerate-unready-endpoints,annotation for tolerating unready endpoints,database,Single
1282,publishNotReadyAddresses,field for publishing not ready addresses,database,Single
1283,Kubernetes version 1.9.0,version of Kubernetes,software,Single
1289,port exposed by the service,The port number that a service exposes to clients.,application,Single
1293,Kubernetes Service resources,A type of resource in Kubernetes that exposes services available in an application.,application,Single
1300,ExternalName service type,A type of service in Kubernetes that provides a DNS CNAME alias for external services.,network,Single
1303,pod container,a pod's readiness probe is used to determine whether a pod should or shouldn't be included as a service endpoint,container,Single
1306,bash shell,running a bash shell in an existing pod's container,process,Single
1308,kubernetes resources,managed by kubectl apply command,application,Single
1309,pod IPs,discovered through DNS when creating a headless service,network,Single
1311,Volumes,attaching disk storage to containers,software,Single
1320,Disk storage,persistent storage for containers,hardware,Single
1323,Persistent storage,shared disk storage between containers,hardware,Single
1332,/var/logs,A directory in the filesystem used by containers to store logs,filesystem,Single
1333,/var/html,A directory in the filesystem used by containers to create and store HTML files,filesystem,Single
1334,web server,A software application that serves HTTP requests and returns web pages,application,Single
1335,agent,A software component that performs a specific task or function,process,Single
1336,log rotator,"A software component that rotates, compresses, and analyzes logs",process,Single
1338,Container: WebServer,A container running a web server process,application,Single
1340,Webserver,A process running a web server application,process,Single
1343,/,The root directory of the filesystem,filesystem,Single
1345,/htdocs/,A subdirectory of the filesystem for storing web server files,filesystem,Single
1347,Container: ContentAgent,A container running a content agent process,application,Single
1349,ContentAgent,A process running a content agent application,process,Single
1352,/html/,A subdirectory of the filesystem for storing HTML files,filesystem,Single
1353,Container: LogRotator,A container running a log rotator process,application,Single
1355,LogRotator,A process running a log rotator application,process,Single
1359,Volume: publicHtml,A shared storage volume for web server files,storage,Single
1360,Volume: logVol,A shared storage volume for log files,storage,Single
1361,Linux,Operating System,software,Single
1366,Web-Server container,A container running a web server,software,Single
1367,ContentAgent container,A container generating content for the web server,software,Single
1368,LogRotator container,A container rotating logs for the web server,software,Single
1369,publicHtml volume,A shared directory between containers serving HTML files,software,Single
1370,logVol volume,A shared directory for storing logs,software,Single
1376,awsElastic-BlockStore,A type of volume for Amazon Web Services Elastic Block Store Volume storage,hardware,Single
1383,quobyte,Used for mounting other types of network storage.,software,Single
1386,vsphere-Volume,Used for mounting other types of network storage.,software,Single
1387,photonPersistentDisk,Used for mounting other types of network storage.,software,Single
1388,scaleIO,Used for mounting other types of network storage.,software,Single
1397,UNIX fortune command,A command that generates a random quote every time it is run.,software,Single
1399,fortune image,A Docker image that generates fortunes,software,Single
1401,apt-get,A package manager for Debian-based systems,software,Single
1402,fortune binary,A program that generates fortunes,software,Single
1409,disk storage,A type of persistent storage for containers,hardware,Single
1412,luksa/fortune,the Docker image used by html-generator container,image,Single
1417,nginx:alpine,the Docker image used by web-server container,image,Single
1419,read-only,the mode of the volume mounted in web-server container,docker,Single
1422,TCP,the protocol used for communication between containers and the host machine,protocol,Single
1425,fortune,the name of the pod that contains two containers and a shared volume,pod,Single
1428,tmpfs filesystem,a filesystem that stores data in memory instead of on disk,hardware,Single
