,index,Unnamed: 0,entity,description,category,node_occurence_flag
35,35,74,podIP,10.0.2.3,hardware,Single
36,36,75,startTime,2016-03-18T12:44:32Z,process,Single
37,37,76,Kubernetes API version,used in the YAML and the type of resource the YAML is describing,software,Single
38,38,78,Spec,contains the actual description of the pod’s contents,database,Single
39,39,79,Pod specification/contents,"list of pod’s containers, volumes, and so on",database,Single
40,40,80,Detailed status of the pod and its containers,status: conditions: lastProbeTime: null lastTransitionTime: null status: True type: Ready,process,Single
41,41,93,protocol,"The protocol being used for communication over a port, such as TCP or UDP.",network,Single
42,42,101,status,"The current state of a pod, including its running containers and any errors.",application,Single
43,43,107,po kubia-manual,Pod object used to retrieve its YAML definition,object,Single
44,44,108,-o yaml,Option to specify output format as YAML,option,Single
45,45,109,-o json,Option to specify output format as JSON,option,Single
46,46,114,process's standard output,Output stream where the application logs are written,output stream,Single
47,47,115,standard error stream,Error output stream where the application logs are written,output stream,Single
48,48,120,$ docker logs <container id>,command to get container's log,command,Single
49,49,122,kubectl logs kubia-manual,"command to see pod's log (more precisely, container's log)",command,Single
50,50,123,Kubia server starting...,log statement about the server starting up,log message,Single
51,51,124,-c <container name>,option to specify container name when getting logs of a multi-container pod,flag,Single
52,52,125,$ kubectl logs kubia-manual -c kubia,command to get logs of a specific container in a multi-container pod,command,Single
53,53,126,container name,name of the container for which logs are being retrieved,parameter,Single
54,54,128,port forwarding,method to connect to a pod for testing and debugging purposes,process,Single
55,55,135,localhost:8888,The local machine's port being used to connect to the pod.,port,Single
56,56,136,8080,The port number on the pod being accessed.,port,Single
57,57,142,Resource,any object in Kubernetes that can be labeled,object,Single
58,58,145,Microservice,"a small, independent service that can be deployed independently",application,Single
59,59,148,UI Pod,a pod running the user interface for an application,container,Single
60,60,157,canary release,A deployment strategy where a new version of an application is deployed next to the stable version,deployment strategy,Single
61,61,158,stable release,A deployment strategy where a new version of an application is deployed as the primary version,deployment strategy,Single
62,62,159,beta release,A deployment strategy where a new version of an application is deployed for testing and feedback,deployment strategy,Single
63,63,160,kubia-manual-with-labels.yaml,A YAML file that specifies labels when creating a pod,file,Single
64,64,165,ui pod,A pod with a label specifying it as a UI component,pod,Single
65,65,166,account service,A pod with a label specifying it as an account service component,pod,Single
66,66,167,product catalog,A pod with a label specifying it as a product catalog component,pod,Single
67,67,168,shopping cart,A pod with a label specifying it as a shopping cart component,pod,Single
68,68,169,order service,A pod with a label specifying it as an order service component,pod,Single
69,69,175,--show-labels,switch to show labels in kubectl get pods output,option,Single
70,70,176,-L,switch to specify labels to display in kubectl get pods output,option,Single
71,71,179,kubia-manual-v2,pod name,application,Single
72,72,189,manual,Value of the creation_method label for manually-created pods,label value,Single
73,73,191,none,Value of the creation_method and env labels for certain pods,label value,Single
74,74,197,!env,Bash shell variable,process,Single
75,75,198,creation_method!=manual,Label selector for pods created manually,label_selector,Single
76,76,199,"env in (prod,devel)",Label selector for pods with env label set to prod or devel,label_selector,Single
77,77,200,"env notin (prod,devel)",Label selector for pods with env label not set to prod or devel,label_selector,Single
78,78,201,app=pc,Label selector for product catalog microservice pods,label_selector,Single
79,79,202,rel=beta,Label selector for beta release of product catalog microservice,label_selector,Single
80,80,203,app=ui,Label selector for UI pod,label_selector,Single
81,81,204,rel=stable,Label selector for stable release of various services,label_selector,Single
82,82,205,app=sc,Label selector for Shopping Cart pod,label_selector,Single
83,83,206,rel=canary,Label selector for canary release of various services,label_selector,Single
84,84,209,selectors,used to constrain pod scheduling based on node labels,software,Single
85,85,216,SSDs,solid-state drives used in some worker nodes,hardware,Single
86,86,217,spinning hard drives,a type of storage device used in some worker nodes,hardware,Single
87,87,218,GPU acceleration,the use of graphics processing units to accelerate computation,hardware,Single
88,88,219,node requirements,a description of the resources required by a pod,software,Single
89,89,221,app: ui,a label used to identify the UI pod,software,Single
90,90,224,app: as,a label used to identify the Account Service pod,software,Single
91,91,229,GPU,general-purpose GPU computing,hardware,Single
92,92,240,gpu,label that indicates a node has a GPU,hardware,Single
93,93,243,kubernetes.io/hostname,a unique label on each node with its hostname,software,Single
94,94,252,chapter 16,a reference to additional information on scheduling pods,software,Single
95,95,259,kubernetes.io/created-by,annotation key used to store information about the creator of a pod,software,Single
96,96,262,kubectl annotate,command for adding or modifying annotations on existing pods,software,Single
97,97,263,mycompany.com/someannotation,example annotation key used to store additional data about a pod,software,Single
98,98,271,names,only need to be unique within a namespace,software,Single
99,99,276,kube-public namespace,a namespace used by Kubernetes,software,Single
100,100,279,fluentd-cloud-kubia-e8fe-node-txje pod,a pod in the kube-system namespace,software,Single
101,101,280,heapster-v11-fz1ge pod,a pod in the kube-system namespace,software,Single
102,102,281,kube-dns-v9-p8a4t pod,a pod in the kube-system namespace,software,Single
103,103,282,kube-ui-v4-kdlai pod,a pod in the kube-system namespace,software,Single
104,104,283,l7-lb-controller-v0.5.2-bue96 pod,a pod in the kube-system namespace,software,Single
105,105,300,metadata section,A section in a YAML manifest that specifies the metadata for a resource,software,Single
106,106,304,--namespace flag,A flag used with the `kubectl` command to specify a namespace for an action,flag,Single
107,107,305,kubectl config commands,Commands used to manage Kubernetes contexts and namespaces,software,Single
108,108,306,alias kcd,An alias created to quickly switch between namespaces using the `kubectl` command,command,Single
109,109,307,networking solution,A solution that provides network isolation between namespaces in Kubernetes,software,Single
110,110,308,inter-namespace network isolation,The ability of a networking solution to isolate pods across different namespaces,feature,Single
111,111,317,creation_method=manual label,A label attached to pods created manually,label,Single
112,112,318,rel=canary label,A label attached to canary pods,label,Single
113,113,321,ns,namespace in Kubernetes,software,Single
114,114,332,ui,example application name,software,Single
115,115,335,stable,example release version,software,Single
116,116,336,as,example application name,software,Single
117,117,337,pc,example application name,software,Single
118,118,345,canary,release version label selector,software,Single
119,119,353,kubia-09as0,pod name,software,Single
120,120,354,kubia-something,pod name,software,Single
121,121,356,kubia-http Service,service that exposes the kubia application to the network,software,Single
122,122,361,Label Selectors,should be used to organize pods and easily perform operations on multiple pods at once.,metadata,Single
123,123,363,Selectors,can be used to schedule pods only to nodes that have certain features.,node,Single
124,124,364,Annotations,allow attaching larger blobs of data to pods either by people or tools and libraries.,metadata,Single
125,125,366,kubectl explain command,can be used to quickly look up the information on any Kubernetes resource.,command,Single
126,126,372,cluster node,physical or virtual machine running Kubernetes,hardware,Single
127,127,374,Replication and other controllers,managed resources that create and manage pods,application,Single
128,128,378,horizontal scaling,process of increasing the number of pods to meet demand,process,Single
129,129,379,system-level pods,pods that run on each cluster node and provide system services,application,Single
130,130,380,batch jobs,"short-lived, non-interactive processes that perform a specific task",application,Single
131,131,381,scheduling jobs,process of running batch jobs periodically or once in the future,process,Single
132,132,388,OutOfMemoryErrors,Error thrown when a process consumes excessive memory,error,Single
133,133,389,Java app,Example application with a memory leak,application,Single
134,134,394,TCP Socket,A type of probe that tries to open a TCP connection to the specified port of the container.,process,Single
135,135,396,HTTP GET liveness probe,A type of probe that performs an HTTP GET request to check whether a web server is serving requests.,process,Single
136,136,397,livenessProbe,A field in the pod specification that defines a liveness probe for the container.,field,Single
137,137,409,httpGet liveness probe,a mechanism to periodically perform HTTP GET requests on a path to determine if a container is still healthy,software,Single
138,138,413,RESTARTS column,a column in the output of kubectl get that shows how many times a pod's container has been restarted,software,Single
139,139,415,kubia-liveness,the name of a pod in the example,software,Single
140,140,417,--previous option,an option for kubectl logs that allows retrieving the log output from a previous instance of a container,software,Single
141,141,418,myped,the name of a pod in the example,software,Single
142,142,423,http-get,HTTP request method used in liveness probe,command,Single
143,143,424,delay=0s,Initial delay before starting the liveness probe,parameter,Single
144,144,425,timeout=1s,Timeout period for the liveness probe,parameter,Single
145,145,426,period=10s,Period between consecutive liveness probes,parameter,Single
146,146,427,#success=1,Number of successful liveness probe attempts,parameter,Single
147,147,428,#failure=3,Number of failed liveness probe attempts before restart,parameter,Single
148,148,433,initialDelaySeconds,delay before executing a probe,process/thread,Single
149,149,434,probe,mechanism to check the health of a container,application/process,Single
150,150,438,exit code,numeric value indicating the reason for a process termination,process/thread,Single
151,151,442,health check,mechanism to verify the internal status of an application,application/process,Single
152,152,443,/health,HTTP endpoint for health checks,hardware/network,Single
153,153,453,Exec Probe,A type of liveness probe that executes a command to check if a container is running correctly,software,Single
154,154,454,HTTP GET Liveness Probe,A type of liveness probe that uses an HTTP GET request to check if a container is running correctly,software,Single
155,155,461,RC,Abbreviation for ReplicationController.,software,Single
156,156,464,pod B2,A new pod instance created by the ReplicationController to replace pod B.,container,Single
157,157,468,Replica count,The desired number of pods that should be running at any given time.,count,Single
158,158,471,Pod selector,A way to select pods based on labels attached to them.,selector,Single
159,159,478,JSON or YAML descriptor,"A file format used to define and describe Kubernetes resources, such as ReplicationControllers.",software,Single
160,160,502,$ kubectl delete pod,The command used to manually delete a pod from the cluster.,command,Single
161,161,504,ReplicationController spins up a new pod,The process by which a ReplicationController creates a new pod when one is deleted or fails.,process,Single
162,162,505,$ kubectl get rc,The command used to list all running ReplicationControllers in the cluster.,command,Single
163,163,508,Ready,A status indicator that shows how many pods are currently running and ready to receive traffic.,status,Single
164,164,513,api server,The central component that manages access to the Kubernetes cluster.,application,Single
165,165,516,containercreating,An event indicating that a container is being created.,event,Single
166,166,517,terminating,An event indicating that a pod is terminating.,event,Single
167,167,520,gcloud compute ssh command,A command used to SSH into a Google Kubernetes Engine node.,software,Single
168,168,521,ifconfig eth0 down,A command used to shut down the network interface on a node.,software,Single
169,169,525,kubectl get node command,A command used to list the nodes in a Kubernetes cluster.,software,Single
170,170,526,NotReady status,The status of a node that is not ready due to network issues or other problems.,hardware,Single
171,171,527,Unknown status,The status of a pod that is scheduled to an unreachable node.,software,Single
172,172,535,instances,compute instances in GKE cluster,hardware,Single
173,173,539,ownerReferences,field in pod metadata referencing ReplicationController,software,Single
174,174,541,pod creation,event creating a new pod instance,container,Single
175,175,548,-L app,An option for the kubectl get command to display the app label in a column.,command,Single
176,176,557,kubia-2qneh,A pod name,container,Single
177,177,558,kubia-dmdck,A pod name,container,Single
178,178,563,kubia-oini2,A pod name,container,Single
179,179,564,kubia-k0xz6,A pod name,container,Single
180,180,569,rc kubia,The name of a ReplicationController.,software,Single
181,181,570,YAML definition,"A human-readable format for representing data, used to define Kubernetes resources.",format,Single
182,182,576,chapter 9,"A reference to a future chapter in the book, which will cover a better way of upgrading pods.",book,Single
183,183,580,scale,a command used to change the number of replicas in a ReplicationController,command,Single
184,184,582,ReplicationController resource,a Kubernetes resource that defines the configuration for a set of pods,resource,Single
185,185,586,text editor,an application used for editing text files,software,Single
186,186,587,KUBE_EDITOR,an environment variable that specifies the default text editor to use with kubectl edit,environment variable,Single
187,187,588,EDITOR,an environment variable that specifies the default text editor to use for editing files,environment variable,Single
188,188,593,selector.app,The field in the ReplicationController's definition that specifies the label selector for the pods managed by the controller.,software,Single
189,189,595,ReplicationController's definition,The configuration file that defines the ReplicationController's desired state and behavior.,software,Single
190,190,596,desired state,The specified number of replicas or other settings that define how a Kubernetes resource should behave.,software,Single
191,191,598,horizontal pod auto-scaling,A feature in Kubernetes that automatically scales the number of replicas based on demand or other conditions.,software,Single
192,192,601,--cascade=false,An option passed to the kubectl delete command to keep pods running when deleting a ReplicationController.,option,Single
193,193,610,pod selectors,Selectors used to match pods in a ReplicaSet or ReplicationController,software,Single
194,194,622,metadata.labels,"Labels attached to the pod, used for matching and selection",software,Single
195,195,623,spec.containers,A list of containers in the pod template,software,Single
196,196,624,containers.name,The name of a container in the pod template,software,Single
197,197,629,selector.matchLabels,"A way to define label selectors for a ReplicaSet, specifying the labels directly under the selector property.",software,Single
198,198,634,Pods Status,"A field that displays the status of pods managed by a ReplicaSet, including running, waiting, succeeded, and failed states.",software,Single
199,199,635,apiGroup,The group name for a Kubernetes API resource.,software,Single
200,200,636,v1beta2,A specific version of the apps API group.,software,Single
201,201,637,core API group,A category of Kubernetes resources that do not require an explicit API group in their apiVersion field.,software,Single
202,202,645,In,An operator that matches if the label's value is one of the specified values.,software,Single
203,203,646,NotIn,An operator that matches if the label's value is not any of the specified values.,software,Single
204,204,647,Exists,"An operator that matches if a pod has a label with the specified key, regardless of its value.",software,Single
205,205,648,DoesNotExist,An operator that matches if a pod does not have a label with the specified key.,software,Single
206,206,666,ssd-monitor,The name of the DaemonSet and pod.,application,Single
207,207,669,ssd,The value of the disk label.,hardware,Single
208,208,673,luksa/ssd-monitor,The name of the Docker image.,software,Single
209,209,676,ssd-monitor-daemonset.yaml,A YAML file containing the configuration for the DaemonSet.,software,Single
210,210,679,disk=ssd,A label that identifies nodes with solid-state drives (SSDs).,label,Single
211,211,680,disk=hdd,A label that identifies nodes with hard disk drives (HDDs).,label,Single
212,212,698,batch API group,A group of APIs related to batch processing,application,Single
213,213,699,v1 API version,The version of the Kubernetes API used for batch processing,software,Single
214,214,710,OnFailure,A value of the restart policy field that indicates a pod should be restarted only if it fails,value,Single
215,215,714,luksa/batch-job,The name of an image used to create a container,image,Single
216,216,715,pod spec property,A property that defaults to Always,software,Single
217,217,716,Job pods,Pods managed by a Job resource,software,Single
218,218,717,restart policy,Setting that prevents the container from being restarted when it finishes,software,Single
219,219,718,kubectl create command,Command used to create a Job resource,command,Single
220,220,720,pod list,List of running pods,output,Single
221,221,721,--show-all switch,Switch used to show completed pods in the pod list,command,Single
222,222,724,completions property,Property used to set the number of pod instances in a Job,software,Single
223,223,725,parallelism property,Property used to set the number of pod instances running in parallel,software,Single
224,224,728,completions,A Job property that specifies how many times the Job's pod should run.,property,Single
225,225,729,parallelism,A Job property that specifies how many pods are allowed to run in parallel.,property,Single
226,226,737,kubectl scale command,A command used to scale a Job or ReplicationController by changing its parallelism property.,command,Single
227,227,740,spec.backoffLimit field,A field in the Job manifest that configures how many times a Job can be retried before it is marked as failed.,field,Single
228,228,742,cron format,A well-known format for specifying a schedule for running a job.,format,Single
229,229,743,Job template,A template used to create a Job resource according to the CronJob object.,template,Single
230,230,744,pod replicas,One or more pod replicas created and started according to the Job's pod template.,process,Single
231,231,747,jobTemplate,A template from which Job objects will be created by the CronJob resource.,application,Single
232,232,753,minute,"A unit of time in the cron schedule format, representing minutes.",process,Single
233,233,754,hour,"A unit of time in the cron schedule format, representing hours.",process,Single
234,234,755,day of month,"A unit of time in the cron schedule format, representing days of the month.",process,Single
235,235,756,month,"A unit of time in the cron schedule format, representing months.",process,Single
236,236,757,day of week,"A unit of time in the cron schedule format, representing days of the week.",process,Single
237,237,759,startingDeadlineSeconds,A field in the CronJob specification that specifies the deadline for starting a job.,process,Single
238,238,767,desired replica count,The desired number of replicas for a ReplicationController.,process,Single
239,239,781,sysadmin,system administrator configuring non-Kubernetes environment,personnel,Single
240,240,784,external clients,clients outside the cluster requesting services from pods,application,Single
241,241,785,external services,services provided by entities outside the cluster,software,Single
242,242,786,pod readiness,controlling whether a pod is ready to be part of a service or not,process,Single
243,243,791,Kubernetes Service,"Resource that makes a single, constant point of entry to a group of pods providing the same service",framework,Single
244,244,792,IP address and port,Constant point of entry for a service,network,Single
245,245,793,Frontend web server,Multiple pods providing the same service,application,Single
246,246,794,Backend database server,Single pod providing a service,database,Single
247,247,795,Service for frontend pods,Stable address for external clients to connect to the pods,application,Single
248,248,796,Service for backend pod,Stable address for the backend pod,application,Single
249,249,802,Node.js app,web application framework,software,Single
250,250,811,kubia-svc.yaml,a YAML file that defines a service called kubia,file,Single
251,251,825,get svc,command,software,Single
252,252,836,service IP,IP address of the service,network,Single
253,253,842,node.js,JavaScript runtime environment for building scalable server-side applications,software,Single
254,254,844,HTTP response,Response sent from server to client using the HTTP protocol,network,Single
255,255,846,-s option,Option used with kubectl exec to specify an alternate API server,command,Single
256,256,847,--,Double dash character used to signal the end of command options for kubectl,command,Single
257,257,850,sessionAffinity property,sets the service's session affinity to ClientIP or None,property,Single
258,258,851,ClientIP,a value for the sessionAffinity property that redirects all requests from the same client IP to the same pod,value,Single
260,260,853,Kubernetes services,don't operate at the HTTP level and don't care about the payload they carry,application,Single
261,261,854,TCP packets,and UDP packets are handled by Kubernetes services,protocol,Single
262,262,855,HTTP protocol,cookies are a construct of the HTTP protocol and aren't known to Kubernetes services,protocol,Single
263,263,856,cookies,a construct of the HTTP protocol that can't be used for session affinity in Kubernetes services,construct,Single
264,264,859,multi-port service,"a service that exposes multiple ports, including HTTP and HTTPS",service,Single
265,265,860,ports 80 and 443,can be forwarded to the pod's ports 8080 and 8443 using a single multi-port service,port,Single
266,266,861,pod's ports 8080 and 8443,can be exposed through a single cluster IP using a multi-port service,port,Single
267,267,864,https,"The HTTPS port, which maps to pod's port 8443",software,Single
268,268,878,env command,Lists environment variables inside a container,command,Single
269,269,879,Environment Variables,Variables set by Kubernetes to point to services,process,Single
270,270,880,Port numbers,Numbers assigned to ports for communication between containers,hardware,Single
271,271,881,IP addresses,Addresses used for communication between containers,hardware,Single
272,272,883,Service spec,Configuration file for a service,configuration,Single
273,273,891,KUBIA_SERVICE_HOST,environment variable,process,Single
274,274,892,KUBIA_SERVICE_PORT,environment variable,process,Single
275,275,893,BACKEND_DATABASE_SERVICE_HOST,environment variable,process,Single
276,276,894,BACKEND_DATABASE_SERVICE_PORT,environment variable,process,Single
277,277,896,DNS server,service,application,Single
278,278,902,backend-database,service name,database,Single
279,279,904,svc.cluster.local,configurable cluster domain suffix used in all cluster local service names,network,Single
280,280,905,client,must know the service's port number,application,Single
281,281,911,http://kubia.default.svc.cluster.local,FQDN of the kubia service,network,Single
282,282,912,http://kubia.default,simplified FQDN of the kubia service,network,Single
283,283,914,http://kubia,the URL of the Kubia service,application,Single
284,284,915,kubia-8awf3,the hostname of the Kubia service,application,Single
285,285,916,service's name,the name of the service used as the hostname in the requested URL,software,Single
286,286,917,/etc/resolv.conf,a file in the container that configures the DNS resolver,file,Single
287,287,918,DNS resolver,a component that resolves domain names to IP addresses,software,Single
288,288,920,kubia.default.svc.cluster.local,the fully qualified domain name (FQDN) of the Kubia service,application,Single
289,289,923,service endpoints,"a resource that sits between services and pods, providing load balancing and discovery",software,Single
290,290,928,svc kubia,service name and selector,application,Single
291,291,931,80/TCP,service port and protocol,application,Single
292,292,933,kubectl get endpoints kubia,command to display Endpoints resource information,software,Single
293,293,934,NAME ENDPOINTS AGE,format of Endpoints resource output,application,Single
294,294,936,"10.108.1.4:8080,10.108.2.5:8080,10.108.2.6:8080",list of IP addresses and ports exposing a service,database,Single
295,295,943,external-service,service name and selector,application,Single
296,296,946,endpoints resource,A separate resource and not an attribute of a service.,database,Single
297,297,947,yaml manifest,The YAML manifest for the Endpoints object.,software,Single
298,298,952,subsets,A list of subsets for the Endpoints resource.,database,Single
299,299,953,addresses,A list of IP addresses for the Endpoints resource.,network,Single
300,300,954,ip,An individual IP address for the Endpoints resource.,hardware,Single
301,301,959,connections,Connections to the service's IP:port pair will be load balanced between the service’s endpoints.,network,Single
302,302,962,service name,"The name of the service, which must match the name of the Endpoints object.",application,Single
303,303,963,endpoints IP,The IPs of the endpoints that the service will forward connections to.,network,Single
304,304,968,ExternalName,Type of service that serves as an alias for an external service,software,Single
305,305,975,externalName,"Field in Service resource definition, used to point to an external service",hardware,Single
306,306,979,DNS level,Implementation level of ExternalName services,network,Single
307,307,990,External client,"A client outside the Kubernetes cluster that can access services exposed to it through NodePort, LoadBalancer, or Ingress resources.",hardware/network,Single
308,308,1001,nodePort,Node port number for the Service resource,software,Single
309,309,1006,svc,Short form for Service resource,software,Single
310,310,1008,CLUSTER-IP,Cluster IP address for the Service resource,network,Single
311,311,1011,<nodes>,Placeholder for node IP addresses,network,Single
312,312,1012,80:30123/TCP,Port number and protocol for the Service resource,software,Single
313,313,1013,10.111.254.223,Cluster IP address for the Service resource,network,Single
314,314,1014,<1st node's IP>,Placeholder for first node's IP address,network,Single
315,315,1015,30123,Node port number for the Service resource,software,Single
316,316,1017,Firewall Rules,"rules that control incoming and outgoing network traffic based on source and destination IP addresses, ports, and protocols",hardware/network,Single
317,317,1018,gcloud compute firewall-rules create,a command to create a new firewall rule in Google Cloud Platform,software/command,Single
318,318,1019,kubia-svc-rule,a specific firewall rule created for the Kubia service,hardware/network,Single
319,319,1020,tcp:30123,a protocol and port number combination that allows incoming TCP connections on port 30123,software/protocol,Single
320,320,1025,Port 30123,a specific port number used by the NodePort service,hardware/computer/port,Single
321,321,1032,JSONPath,Query language for JSON data,software,Single
322,322,1037,ExternalIP,Type of IP address assigned to a node,network,Single
323,323,1046,APIVersion,a field in the YAML manifest that specifies the version of the Kubernetes API being used,"software,hardware",Single
324,324,1050,Port,a field in the YAML manifest that specifies a port number for the service,"software,application",Single
325,325,1051,TargetPort,a field in the YAML manifest that specifies the port on which the pod is listening,"software,application",Single
326,326,1056,kubectl explain,command to check service's session affinity,command,Single
327,327,1058,keep-alive connections,browser requests sent through single connection,process,Single
328,328,1059,session affinity,service setting to determine pod selection,software,Single
329,329,1061,external client,client connecting to service through load balancer,hardware,Single
330,330,1063,IP: 130.211.53.173:80,load balancer IP address and port,network,Single
331,331,1066,IP: 130.211.99.206,node IP address,network,Single
332,332,1068,IP: 130.211.97.55,node IP address,network,Single
333,333,1069,Port 32143,port used by service,software,Single
334,334,1078,externalTrafficPolicy,a field in the service's spec section that determines how external traffic is handled,software,Single
335,335,1079,Local,a value for the externalTrafficPolicy field that causes the service proxy to choose a locally running pod,hardware,Single
336,336,1080,client's IP,The client's IP address that is not preserved when connecting to a service through a node port.,network,Single
337,337,1081,Source Network Address Translation (SNAT),A process that changes the source IP of packets received through a node port.,process,Single
338,338,1083,Local external traffic policy,A policy that affects the preservation of the client's IP when connecting to a service through a node port.,policy,Single
339,339,1085,LoadBalancer service,A type of service that requires its own load balancer with its own public IP address.,service,Single
340,340,1086,public IP address,An IP address that is accessible from outside the cluster.,network,Single
341,341,1087,host and path in the request,The components of an HTTP request that determine which service to forward the request to.,application,Single
342,342,1088,Service using Local external traffic policy,A type of service that may lead to uneven load distribution across pods.,service,Single
343,343,1097,Ingress add-on,An optional feature in Minikube that enables the Ingress functionality.,software,Single
344,344,1099,Kube-dns,A service that provides DNS resolution for pods in a Kubernetes cluster.,software,Single
345,345,1119,NAMESPACE,column header for the namespace column,key,Single
346,346,1125,default-http-backend-5wb0h,name of the Ingress controller pod,process,Single
347,347,1126,kube-addon-manager-minikube,name of the Kubernetes addon manager process,process,Single
348,348,1127,kube-dns-v20-101vq,name of the Kubernetes DNS service pod,process,Single
349,349,1128,kubernetes-dashboard-jxd9l,name of the Kubernetes dashboard process,process,Single
350,350,1129,nginx-ingress-controller-gdts0,name of the Nginx Ingress controller process,process,Single
351,351,1136,get ingresses,A command used to list Ingress resources in a Kubernetes cluster.,command,Single
352,352,1137,ingresses,A resource that exposes services externally through HTTP requests.,application,Single
353,353,1138,DNS servers,Servers that resolve domain names to IP addresses.,network,Single
354,354,1139,/etc/hosts,A file on Unix-like systems that maps hostnames to IP addresses.,file system,Single
355,355,1143,End-points object,An object that stores information about the IP addresses of pods associated with a service.,database,Single
356,356,1145,Host header,A header in an HTTP request that specifies the hostname or IP address of the server being requested.,header,Single
357,357,1164,TLS,A protocol for encrypting communication between clients and servers.,network,Single
358,358,1168,openssl,A command-line tool for generating and managing SSL/TLS certificates and private keys.,software,Single
359,359,1169,genrsa,A command used to generate a new RSA key pair.,command,Single
360,360,1170,req,A command used to create a certificate signing request (CSR).,command,Single
361,361,1171,x509,A command used to create a self-signed X.509 certificate.,command,Single
362,362,1174,tls-secret,name of the Secret resource,database,Single
363,363,1178,CertificateSigningRequest,resource to request a signed certificate,application,Single
364,364,1179,csr,short form for CertificateSigningRequest,software,Single
365,365,1180,kubia-ingress-tls.yaml,file containing the Ingress configuration,hardware,Single
366,366,1181,tls,attribute of the Ingress resource,software,Single
367,367,1183,kubia.example.com,hostname for which TLS connections will be accepted,network,Single
368,368,1189,liveness probes,A mechanism to periodically check if a container is running and responding correctly.,process,Single
369,369,1196,GET / request,HTTP request method,"network,application",Single
370,370,1199,TCP Socket probe,Type of readiness probe that opens a TCP connection,"process,container",Single
371,371,1206,TCP connection,Network communication protocol,"network,application",Single
372,372,1213,container specification,Definition of a container in the pod template,application,Single
373,373,1214,readiness probe definition,Periodic command to check if a file exists inside the container,process,Single
374,374,1215,ls command,Command to list files and directories inside the container,command,Single
375,375,1216,exit code zero,Return value indicating success or failure of the readiness probe,error,Single
376,376,1217,file /var/ready,File used by the readiness probe to determine pod readiness,process,Single
377,377,1222,READY column,column in kubectl output showing pod readiness,output,Single
378,378,1225,touch command,command to create a new file,command,Single
379,379,1229,kubia-loadbalancer,service name,application,Single
380,380,1237,pod labels,Metadata associated with a pod that can be used to identify or filter pods,metadata,Single
381,381,1242,DNS lookups,a way to resolve service names to pod IPs,process,Single
382,382,1243,Cluster IP,a virtual IP address assigned to a service by Kubernetes,network,Single
383,383,1244,Service specification,the configuration file that defines a service,software,Single
384,384,1245,clusterIP field,a field in the service specification that determines whether a cluster IP is assigned,process,Single
385,385,1261,dig binary,a binary used for DNS-related actions,binary,Single
386,386,1262,tutum/dnsutils container image,an image containing the binaries needed for DNS-related actions,image,Single
387,387,1264,--generator=run-pod/v1 option,an option used to create a pod directly without any kind of ReplicationController or similar behind it,option,Single
388,388,1266,DNS A records,the IP addresses returned by a DNS server for a headless service,object,Single
389,389,1267,kubia-headless.default.svc.cluster.local FQDN,a fully qualified domain name used to perform DNS lookups,domain name,Single
390,390,1268,kubectl get pods command,a command to list running pods with their IPs,command,Single
391,391,1276,headless services,services that don't have an IP address,software,Single
