,entity,description,category,node_occurence_flag
97,kubectl,A command-line tool for managing Kubernetes clusters.,software,Multi
98,manifest,"A file that defines a desired state of a Kubernetes object, such as a pod or service.",application,Multi
99,API object,"A resource in the Kubernetes API that can be created, updated, or deleted.",software,Multi
100,spec,"The desired behavior of a pod, including its containers and volumes.",application,Multi
102,volumes,A list of volumes that can be mounted by containers within a pod.,storage,Multi
103,hostPID,A boolean flag indicating whether to use the host's pid namespace.,process,Multi
104,kubectl create,Command to create a pod from YAML or JSON descriptor,command,Multi
105,kubia-manual.yaml,YAML file used to create the pod,file,Multi
106,kubectl get,Command to retrieve information about a pod,command,Multi
110,kubectl get pods,Command to list all running pods,command,Multi
111,kubia-manual,Pod name used to retrieve its YAML definition,pod,Multi
112,kubia-zxzij,Pod name used to list all running pods,pod,Multi
113,Node.js,Programming language used to develop the application,programming language,Multi
116,Containers,List of containers belonging to a pod,object,Multi
117,Pods,running containers in Kubernetes,application,Multi
118,container runtime,redirects streams to files and allows getting container's log by running $ docker logs <container id>,software,Multi
119,Docker,container runtime,software,Multi
121,ssh,to log into the node where your pod is running and retrieve its logs with docker logs,process,Multi
127,kubectl expose,command to create a service to gain access to the pod externally,command,Multi
129,pod,A pod is a logical host that can contain one or more containers.,container,Multi
130,label,A label is used to categorize pods into subsets.,process,Multi
131,kubectl,The command-line tool for interacting with a Kubernetes cluster.,command,Multi
132,port-forward,A feature of kubectl that allows forwarding a local network port to a pod.,process,Multi
133,kubia-manual,The name of a specific pod being used as an example.,pod,Multi
134,curl,A command-line tool for sending HTTP requests.,command,Multi
137,pod,A group of one or more containers running in a Kubernetes cluster.,container,Multi
138,cluster,A collection of pods and other resources managed by Kubernetes.,application,Multi
139,Pods,running containers in Kubernetes,container,Multi
140,Kubernetes,a container orchestration system,software,Multi
141,Labels,"a simple, yet incredibly powerful, Kubernetes feature for organizing resources",feature,Multi
143,Selector,a way to filter resources based on labels,mechanism,Multi
144,Pod,a running container in Kubernetes,container,Multi
146,Replica,a copy of a pod or microservice,copy,Multi
147,Release,a version of a pod or microservice,version,Multi
149,Account Service,a service handling account-related functionality,service,Multi
150,Product Catalog,a service handling product catalog-related functionality,service,Multi
151,Shopping Cart,a service handling shopping cart-related functionality,service,Multi
152,Order Service,a service handling order-related functionality,service,Multi
153,pods,A group of one or more containers running as a single entity,container,Multi
154,labels,Key-value pairs that provide metadata to pods,metadata,Multi
155,app,"A label that specifies which app, component, or microservice the pod belongs to",label,Multi
156,rel,"A label that shows whether the application running in the pod is a stable, beta, or canary release",label,Multi
161,apiVersion,A field in the YAML file that specifies the API version of the resource,field,Multi
162,kind,A field in the YAML file that specifies the type of resource being created,field,Multi
163,metadata,A field in the YAML file that specifies metadata about the pod,field,Multi
164,name,A field in the YAML file that specifies the name of the pod,field,Multi
170,Pods,running containers in Kubernetes,application,Multi
171,labels,creation_method: manual and env: prod,process,Multi
172,spec,"containers: image: luksa/kubia, name: kubia, ports: containerPort: 8080, protocol: TCP",application,Multi
173,kubectl,create command to create a pod,command,Multi
174,get,kubectl get pods command to list pods,command,Multi
177,creation_method,label attached to a pod,process,Multi
178,env,label attached to a pod,process,Multi
180,kubectl label,command to add or modify labels on a pod,command,Multi
181,--overwrite,option to overwrite existing labels when modifying them,option,Multi
182,kubectl,Command-line tool for managing Kubernetes clusters,software,Multi
183,get,"Command to retrieve information about pods, services, etc.",command,Multi
184,po,Pods are the basic execution unit in a containerized system,resource,Multi
185,label selectors,Criteria for selecting resources based on labels,feature,Multi
186,labels,Key-value pairs attached to resources for filtering and sorting,metadata,Multi
187,creation_method,Label key used to track how pods were created,label,Multi
188,env,Label key used to track environment-related information,label,Multi
190,debug,Value of the env label for a specific pod,label value,Multi
192,pod,Basic execution unit in a containerized system,resource,Multi
193,service,"Abstracted interface to access resources, such as pods or deployments",resource,Multi
194,deployment,Resource that manages the rollout of new versions of an application,resource,Multi
195,Kubernetes,Container orchestration system,software,Multi
196,Pods,Running containers in Kubernetes,software,Multi
207,kubectl,Command-line tool for interacting with Kubernetes,software,Multi
208,labels,a way to describe node requirements and let Kubernetes select a node that matches those requirements,software,Multi
210,pods,the basic execution unit in a Kubernetes cluster,application,Multi
211,node labels,used to describe node requirements and let Kubernetes select a node that matches those requirements,software,Multi
212,Kubernetes,"an open-source container orchestration system for automating the deployment, scaling, and management of containers",software,Multi
213,worker nodes,nodes in a Kubernetes cluster that run pods,hardware,Multi
214,CPU,a measure of computational resources required by a pod,hardware,Multi
215,memory,a measure of computational resources required by a pod,hardware,Multi
220,UI pod,a pod running a user interface application,application,Multi
222,rel: stable,a label used to indicate the stability of the UI pod,software,Multi
223,Account Service,a service provided by a pod,application,Multi
225,rel: stable,a label used to indicate the stability of the Account Service pod,software,Multi
226,Pods,running containers in Kubernetes,application,Multi
227,labels,"attached to any Kubernetes object, including nodes",software,Multi
228,nodes,Kubernetes resource type that can attach a label to,hardware,Multi
230,kubectl,command-line tool for interacting with Kubernetes,software,Multi
231,label selector,used to list nodes that include a specific label,software,Multi
232,nodeSelector,added to the pod's YAML to schedule it to specific nodes,software,Multi
233,pod,container that needs a GPU to perform its work,application,Multi
234,YAML,file format used to define the pod's configuration,software,Multi
235,apiVersion,header in the YAML file that specifies the API version,software,Multi
236,kind,header in the YAML file that specifies the type of resource,software,Multi
237,metadata,section in the YAML file that contains metadata about the pod,software,Multi
238,spec,section in the YAML file that contains the pod's specification,software,Multi
239,nodeSelector,header in the YAML file that specifies the node selector,software,Multi
241,nodeSelector,a field under the spec section used to select a node for pod creation,software,Multi
242,gpu=true label,a label on a node indicating it has a GPU,hardware,Multi
244,label selectors,a way to select nodes based on labels,software,Multi
245,labels,key-value pairs used to identify and group objects,software,Multi
246,annotations,"key-value pairs used to hold additional information, not for identification",software,Multi
247,pod,a container in Kubernetes that can run one or more containers,application,Multi
248,node,a machine in a cluster,hardware,Multi
249,scheduler,a component that assigns pods to nodes,software,Multi
250,Replication-Controllers,a Kubernetes resource that manages multiple replicas of a pod,application,Multi
251,Services,a Kubernetes resource that provides a network identity and load balancing for accessing applications,application,Multi
253,kubectl,command-line tool for interacting with Kubernetes clusters,software,Multi
254,yaml,human-readable serialization format for configuration data,software,Multi
255,apiVersion,field in YAML files specifying the API version of the object,software,Multi
256,kind,field in YAML files specifying the type of object being described,software,Multi
257,metadata,field in YAML files containing metadata about the object,software,Multi
258,annotations,field in YAML files containing additional data about the object,software,Multi
260,JSON,data format for storing and exchanging data between systems,software,Multi
261,labels,field in YAML files used to categorize objects into groups,software,Multi
264,kubectl describe,command for displaying detailed information about an object,software,Multi
265,namespace,field in YAML files specifying the namespace of an object,software,Multi
266,ReplicationController,type of Kubernetes object used to manage replication of pods,software,Multi
267,namespaces,groups objects into namespaces for resource management,software,Multi
268,Kubernetes,container orchestration system,software,Multi
269,Linux namespaces,used to isolate processes from each other,software,Multi
270,resources,managed by Kubernetes using namespaces,software,Multi
272,Node resource,global and not tied to a single namespace,software,Multi
273,kubectl get command,used to list resources in a namespace,command,Multi
274,namespace,a scope for objects names,hardware,Multi
275,default namespace,the default namespace used by Kubernetes,software,Multi
277,kube-system namespace,a namespace used by Kubernetes,software,Multi
278,pods,managed by Kubernetes using namespaces,software,Multi
284,Pods,running containers in Kubernetes,application,Multi
285,namespaces,separate resources that don’t belong together into non-overlapping groups,database,Multi
286,kubectl,command to post a YAML file to the Kubernetes API server,software,Multi
287,YAML,file format for defining resources in Kubernetes,software,Multi
288,apiVersion,field in YAML file to specify the API version,database,Multi
289,kind,field in YAML file to specify the type of resource,database,Multi
290,metadata,field in YAML file to specify metadata about the resource,database,Multi
291,name,field in YAML file to specify the name of the namespace,database,Multi
292,custom-namespace,example namespace created using YAML file,application,Multi
293,kubectl create,command to create a namespace from a YAML file,software,Multi
294,create namespace,dedicated command to create a namespace,software,Multi
295,namespaces,A way to group resources in Kubernetes,software,Multi
296,API object,"An object that can be created, read, updated, and deleted by posting a YAML manifest to the API server",software,Multi
297,kubectl,A command-line tool for managing Kubernetes resources,software,Multi
298,create namespace,A command to create a new namespace in Kubernetes,command,Multi
299,custom-namespace,A custom namespace created using the `kubectl create` command,software,Multi
301,kubia-manual.yaml,A YAML manifest file used to create a pod in a specific namespace,file,Multi
302,pod,A container that can run one or more applications,software,Multi
303,default namespace,The default namespace in which resources are created if no other namespace is specified,software,Multi
309,Pod,A container running in Kubernetes,container,Multi
310,Kubernetes,An open-source container orchestration system,software,Multi
311,kubectl,The command-line tool for interacting with Kubernetes,command,Multi
312,SIGTERM,A signal sent to a process to terminate it gracefully,signal,Multi
313,SIGKILL,A signal sent to a process to kill it immediately,signal,Multi
314,label selector,A way to select pods based on labels attached to them,selector,Multi
315,namespace,A logical grouping of resources in Kubernetes,resource,Multi
316,pod name,The unique identifier for a pod,identifier,Multi
319,kubectl,command-line tool for managing Kubernetes clusters,software,Multi
320,delete,command to delete resources in Kubernetes,software,Multi
322,custom-namespace,example namespace name,software,Multi
323,pod,lightweight and ephemeral container in Kubernetes,software,Multi
324,kubia-zxzij,example pod name,software,Multi
325,--all,option to delete all resources of a certain type,software,Multi
326,kubectl get pods,command to list running pods in Kubernetes,software,Multi
327,NAME,column header for pod names in the output of kubectl get pods,software,Multi
328,READY,column header for pod readiness status in the output of kubectl get pods,software,Multi
329,STATUS,column header for pod status in the output of kubectl get pods,software,Multi
330,RESTARTS,column header for pod restart count in the output of kubectl get pods,software,Multi
331,AGE,column header for pod creation time in the output of kubectl get pods,software,Multi
333,app,label key for application names,software,Multi
334,rel,label key for release versions,software,Multi
338,sc,example application name,software,Multi
339,os,example application name,software,Multi
340,Account Service,example service name,software,Multi
341,Product Catalog,example service name,software,Multi
342,Order Service,example service name,software,Multi
343,Shopping Cart,example service name,software,Multi
344,UI pod,example pod name for UI application,software,Multi
346,Pod,running containers in Kubernetes,software,Multi
347,ReplicationController,creates and manages pods in Kubernetes,software,Multi
348,kubectl,command-line tool for interacting with Kubernetes,software,Multi
349,Service,exposes an application running in a pod to the network,software,Multi
350,Secrets,"store sensitive information, like passwords or API keys",software,Multi
351,namespace,logical grouping of resources in Kubernetes,software,Multi
352,kubia-zxzij,pod name,software,Multi
355,kubernetes Service,system service that provides a network interface for pods,software,Multi
357,Pods,can run multiple processes and are similar to physical hosts in the non-container world.,container,Multi
358,YAML,or JSON descriptors can be written and used to create pods,format,Multi
359,JSON,descriptors can be written and used to create pods,format,Multi
360,Labels,and label selectors should be used to organize pods,metadata,Multi
362,Node Labels,and selectors can be used to schedule pods only to nodes that have certain features.,node,Multi
365,Namespaces,can be used to allow different teams to use the same cluster as though they were using separate Kubernetes clusters.,cluster,Multi
367,ReplicationControllers,manage pods and will be covered in the next chapter.,resource,Multi
368,Kubernetes,container orchestration system,software,Multi
369,pods,basic deployable unit in Kubernetes,application,Multi
370,Replication-Controllers,resource that creates and manages pods,application,Multi
371,Deployments,resource that creates and manages pods,application,Multi
373,containers,lightweight and standalone execution environment for applications,software,Multi
375,Deployments,resource that creates and manages pods,application,Multi
376,pods,basic deployable unit in Kubernetes,application,Multi
377,node failure,event where a cluster node fails or becomes unavailable,hardware,Multi
382,Kubernetes,Container orchestration system,software,Multi
383,Pods,Lightweight and portable container,container,Multi
384,ReplicationControllers,Controller for managing multiple replicas of a pod,application,Multi
385,Kubelet,Agent that runs on each node in the cluster,process,Multi
386,Containers,Lightweight and portable executable package,container,Multi
387,OOM Killer,Process that kills processes consuming excessive memory,process,Multi
390,JVM,Java Virtual Machine,process,Multi
391,Liveness probes,Mechanism for checking if a container is still alive,feature,Multi
392,Readiness probes,Mechanism for checking if a container is ready to receive traffic,feature,Multi
393,HTTP GET probe,Type of liveness probe that performs an HTTP GET request,mechanism,Multi
395,Exec probe,A type of probe that executes an arbitrary command inside the container and checks the command's exit status code.,process,Multi
398,httpGet,A sub-field of livenessProbe that defines an HTTP GET request to be performed as part of the liveness probe.,sub-field,Multi
399,path,A field in httpGet that specifies the path to be requested in the HTTP GET request.,field,Multi
400,port,A field in httpGet that specifies the network port to which the probe should connect.,field,Multi
401,apiVersion,A field in the pod specification that defines the API version of the object.,field,Multi
402,kind,A field in the pod specification that defines the type of object being created.,field,Multi
403,metadata,A field in the pod specification that contains metadata about the object.,field,Multi
404,name,A sub-field of metadata that specifies the name of the pod.,sub-field,Multi
405,spec,A field in the pod specification that defines the specifications for the container.,field,Multi
406,containers,A sub-field of spec that lists the containers to be created.,sub-field,Multi
407,image,A field in containers that specifies the image to be used for the container.,field,Multi
408,name,A sub-field of containers that specifies the name of the container.,sub-field,Multi
410,Kubernetes,"an open-source container orchestration system for automating the deployment, scaling, and management of containers",software,Multi
411,pod descriptor,a configuration file that defines a pod in Kubernetes,software,Multi
412,kubectl get,"a command to retrieve information about pods, services, and other resources in a Kubernetes cluster",command,Multi
414,kubectl describe,"a command to display detailed information about a pod, service, or other resource in a Kubernetes cluster",command,Multi
416,kubectl logs,a command to retrieve the log output from a container running in a Kubernetes pod,command,Multi
419,Kubernetes,Container orchestration system,software,Multi
420,Pod,Basic execution unit in Kubernetes,application,Multi
421,Container,Lightweight and standalone executable package,container,Multi
422,Liveness Probe,Mechanism to check if a container is running correctly,process,Multi
429,SIGKILL,Signal sent to a process to terminate it forcibly,signal,Multi
430,kubectl describe,Command used to display information about a pod,command,Multi
431,pods,units of deployment in Kubernetes,application,Multi
432,port,network port number,hardware/network,Multi
435,container,isolated process in Kubernetes,application/process,Multi
436,kubectl,command-line tool for managing Kubernetes clusters,software/command,Multi
437,describe,kubectl command to display detailed information about a resource,software/command,Multi
439,SIGKILL,signal sent to terminate a process immediately,hardware/network,Multi
440,SIGTERM,signal sent to request termination of a process,hardware/network,Multi
441,liveness probe,probe that checks the health of a container,application/process,Multi
444,Kubernetes,container orchestration system,software/application,Multi
445,Liveness Probe,A probe used to check if a container is running correctly,software,Multi
446,Kubelet,The component responsible for restarting containers that crash or fail liveness probes,software,Multi
447,ReplicationController,A Kubernetes resource that ensures its pods are always kept running,software,Multi
448,Pod,A unit of execution in a containerized system,software,Multi
449,Container,A lightweight and standalone executable package,software,Multi
450,Node,A machine in a Kubernetes cluster that runs the Kubelet component,hardware,Multi
451,Cluster,A group of machines (nodes) that run Kubernetes components,network,Multi
452,Kubernetes Control Plane,The set of components responsible for managing a Kubernetes cluster,software,Multi
455,JVM,"The Java Virtual Machine, used by Java applications",software,Multi
456,ReplicationController,Manages multiple copies (replicas) of a pod.,software,Multi
457,pod,A container running an application or service.,container,Multi
458,ReplicationController,Constantly monitors the list of running pods and ensures the actual number of pods matches the desired number.,software,Multi
459,pod template,A template used to create new replicas of a pod.,container,Multi
460,node,A machine or virtual machine running pods.,hardware,Multi
462,pod A,A pod instance that is lost when Node 1 fails.,container,Multi
463,pod B,A pod instance recreated by the ReplicationController after Node 1 fails.,container,Multi
465,Pod,A logical host in Kubernetes that can contain one or more containers.,container,Multi
466,ReplicationController,A controller in Kubernetes that ensures a specified number of pods are running at any given time.,controller,Multi
467,Label selector,A way to select pods based on labels attached to them.,selector,Multi
469,Pod template,A template used to create new pod replicas when needed.,template,Multi
470,Kubernetes,An open-source container orchestration system.,system,Multi
472,Replicas,The current number of running pods.,count,Multi
473,ReplicationController,A Kubernetes resource that ensures a specified number of replicas (pods) are running at any given time.,software,Multi
474,replica count,The desired number of pod instances to be maintained by the ReplicationController.,software,Multi
475,label selector,A mechanism used by the ReplicationController to identify and select pods based on labels.,software,Multi
476,pod template,A template that defines the configuration of new pods created by the ReplicationController.,software,Multi
477,Kubernetes API server,The central component responsible for managing and controlling Kubernetes resources.,software,Multi
479,kubia-rc.yaml,A specific YAML file used to create a ReplicationController named kubia.,software,Multi
480,apiVersion,A field in the YAML descriptor that specifies the API version of the Kubernetes resource being created.,software,Multi
481,kind,"A field in the YAML descriptor that specifies the type of Kubernetes resource being created (e.g., ReplicationController).",software,Multi
482,metadata,A field in the YAML descriptor that provides metadata about the Kubernetes resource being created.,software,Multi
483,name,"A field in the YAML descriptor that specifies the name of the Kubernetes resource being created (e.g., kubia).",software,Multi
484,spec,A field in the YAML descriptor that specifies the configuration and behavior of the Kubernetes resource being created.,software,Multi
485,replicas,A field in the YAML descriptor that specifies the desired number of pod instances to be maintained by the ReplicationController.,software,Multi
486,selector,A field in the YAML descriptor that specifies the label selector used by the ReplicationController to identify and select pods.,software,Multi
487,app,A field in the YAML descriptor that specifies the label used by the ReplicationController to identify and select pods.,software,Multi
488,ReplicationController,A Kubernetes resource that ensures a specified number of replicas (pod instances) are running at any given time.,software,Multi
489,kubia,The name of the ReplicationController and pod label selector.,software,Multi
490,app=kubia,A label selector used to identify pods that belong to the kubia ReplicationController.,software,Multi
491,pod template,"A YAML or JSON file that defines the configuration for a pod, including its labels and containers.",software,Multi
492,kubectl create,"A Kubernetes command used to create a new resource, such as a ReplicationController.",command,Multi
493,kubia-rc.yaml,A YAML file that defines the configuration for the kubia ReplicationController.,file,Multi
494,pods,"The output of the kubectl get command, showing a list of running pod instances.",output,Multi
495,containerPort,A field in the pod template that specifies the port number for a container to listen on.,software,Multi
496,image,A field in the pod template that specifies the Docker image to use for a container.,software,Multi
497,containerCreating,"The status of a pod, indicating that it is being created and its containers are still initializing.",status,Multi
498,ReplicationControllers,A Kubernetes feature that ensures a specified number of replicas (pods) are running at any given time.,application,Multi
499,kubectl,The command-line interface for interacting with Kubernetes clusters.,software,Multi
500,pod,A lightweight and portable container that runs a single instance of an application.,container,Multi
501,ReplicationController,A Kubernetes feature that ensures a specified number of replicas (pods) are running at any given time.,application,Multi
503,kubectl get pods,The command used to list all running pods in the cluster.,command,Multi
506,kubectl describe,The command used to display detailed information about a specific resource (such as a pod or ReplicationController).,command,Multi
507,Replicas,"A metric that shows the actual number of pods running in a cluster, compared to the desired number.",metric,Multi
509,ReplicationController,A Kubernetes controller that ensures a specified number of replicas (pods) are running.,application,Multi
510,pod,A lightweight and portable container runtime environment.,container,Multi
511,replica,"A copy of a pod, used to ensure high availability.",container,Multi
512,kubernetes,An open-source container orchestration system.,application,Multi
514,selector,A label used to identify and select pods.,label,Multi
515,events,Notifications about changes to resources or resource lists.,process,Multi
518,ReplicationController,A Kubernetes resource that ensures a specified number of replicas (identical Pods) are running at any given time.,software,Multi
519,node failure,A situation where a node in the Kubernetes cluster becomes unreachable due to network issues or other problems.,hardware,Multi
522,Kubernetes cluster,A group of machines (nodes) that run containerized applications and are managed by Kubernetes.,hardware,Multi
523,ReplicationController,A Kubernetes resource that ensures a specified number of replicas (identical Pods) are running at any given time.,software,Multi
524,pods,"The smallest deployable units in Kubernetes, which represent an application or service.",software,Multi
528,ReplicationController,A Kubernetes resource that ensures a specified number of replicas (identical Pods) are running at any given time.,software,Multi
529,kubectl,command to get pods,software,Multi
530,pods,managed by ReplicationController,container,Multi
531,ReplicationController,manages pods based on label selector,application,Multi
532,label selector,used to select pods managed by ReplicationController,software,Multi
533,node,compute instance in GKE cluster,hardware,Multi
534,gcloud,command to reset compute instance,software,Multi
536,ReplicationController,manages pods based on label selector,application,Multi
537,pod,managed by ReplicationController or not,container,Multi
538,labels,metadata used to identify pods,software,Multi
540,node failure,event causing pod status to become Unknown,hardware,Multi
542,ReplicationController,A Kubernetes resource that ensures a specified number of replicas (identical Pods) are running at any given time.,software,Multi
543,kubectl,The command-line tool for interacting with Kubernetes clusters.,software,Multi
544,label,A key-value pair that can be attached to a Pod or other Kubernetes resource.,software,Multi
545,pod,A lightweight and portable container that runs an application.,container,Multi
546,ReplicaSet,A resource that ensures a specified number of replicas (identical Pods) are running at any given time.,software,Multi
547,--overwrite,An option for the kubectl label command to overwrite an existing label value.,command,Multi
549,containerCreating,A status phase of a Pod that indicates it is being created.,status,Multi
550,Running,A status phase of a Pod that indicates it is running and ready to accept traffic.,status,Multi
551,ContainerCreating,A status phase of a Pod that indicates it is being created.,status,Multi
552,ReplicationController,A Kubernetes resource that ensures a specified number of replicas (identical Pods) are running at any given time.,software,Multi
553,kubectl label,The command for adding or modifying labels on a Pod or other Kubernetes resource.,command,Multi
554,pod selector,A label selector used by a ReplicationController to identify the Pods it manages.,software,Multi
555,ReplicationController,A Kubernetes resource that ensures a specified number of replicas (pods) are running at any given time.,software,Multi
556,Pod,"The basic execution unit in Kubernetes, representing a container or process.",container,Multi
559,Replicas,The number of replicas (pods) a ReplicationController ensures are running.,software,Multi
560,Selector,A label selector used by a ReplicationController to identify pods it manages.,software,Multi
561,app=kubia,A label value used in the Selector of a ReplicationController.,label,Multi
562,ContainerCreating,A pod status indicating that a container is being created.,software,Multi
565,ReplicationControllers,A Kubernetes resource that manages the replication of pods.,software,Multi
566,pod template,"The configuration for a pod, including its container image and labels.",software,Multi
567,label selector,A way to select pods based on their labels.,software,Multi
568,kubectl edit,"A command used to edit a Kubernetes resource, such as a ReplicationController.",command,Multi
571,metadata,Information about a pod or other Kubernetes resource.,software,Multi
572,labels,Key-value pairs that can be attached to pods and other Kubernetes resources.,software,Multi
573,ReplicationController,A Kubernetes resource that manages the replication of pods.,software,Multi
574,pods,"The smallest deployable units in a Kubernetes cluster, which can contain one or more containers.",software,Multi
575,container image,The version of an application's code that is running in a container.,software,Multi
577,ReplicationControllers,a Kubernetes resource that ensures a specific number of pod instances is always running,software,Multi
578,pods,the basic execution unit in Kubernetes,container,Multi
579,kubectl,the command-line tool for interacting with Kubernetes resources,command,Multi
581,replicas,the desired number of pod instances in a ReplicationController,field,Multi
583,apiVersion,a field in a Kubernetes resource that specifies the API version,field,Multi
584,kind,a field in a Kubernetes resource that specifies the type of resource,field,Multi
585,kubectl edit,a command used to edit a Kubernetes resource directly,command,Multi
589,ReplicationController,A Kubernetes resource that manages a set of replicas (pods) based on a specified desired state.,software,Multi
590,kubectl,The command-line tool for interacting with a Kubernetes cluster.,software,Multi
591,ReplicaSet,"A Kubernetes resource that manages a set of replicas (pods) based on a specified desired state, similar to ReplicationController but more flexible.",software,Multi
592,spec.replicas,The field in the ReplicationController's definition that specifies the desired number of replicas.,software,Multi
594,pods,A Kubernetes resource that represents a running instance of an application.,software,Multi
597,kubectl delete,"The command used to delete a Kubernetes resource, such as a ReplicationController.",software,Multi
599,ReplicationController,A Kubernetes component for replicating pods and rescheduling them when nodes failed.,software,Multi
600,kubectl delete,A command used to delete a ReplicationController with the --cascade=false option.,command,Multi
602,ReplicaSet,A new generation of ReplicationController that replaces it completely.,software,Multi
603,Pod,A Kubernetes object that represents a container running an application.,container,Multi
604,kubia,The name of the ReplicationController and ReplicaSet.,resource,Multi
605,Replicas,The number of replicas in a ReplicationController or ReplicaSet.,property,Multi
606,Selector,A label selector used to identify pods managed by a ReplicationController or ReplicaSet.,property,Multi
607,app=kubia,The label selector value for the kubia application.,label,Multi
608,ReplicaSets,A higher-level resource that manages replica sets,software,Multi
609,ReplicationControllers,An older resource for managing replicas,software,Multi
611,labels,"Key-value pairs attached to pods, used for matching and selection",software,Multi
612,ReplicaSet,A resource that manages replica sets with more expressive pod selectors,software,Multi
613,Deployment,A higher-level resource that creates ReplicaSets automatically,software,Multi
614,apiVersion,The version of the API used to define a resource,software,Multi
615,kind,"The type of resource being defined (e.g. ReplicaSet, Deployment)",software,Multi
616,metadata,"Information about the resource itself, such as its name and labels",software,Multi
617,spec,"The specification for the resource, including its replicas and selector",software,Multi
618,replicas,The number of replicas to maintain in a ReplicaSet or Deployment,software,Multi
619,selector,A selector used to match pods in a ReplicaSet or ReplicationController,software,Multi
620,matchLabels,A selector that matches pods with specific labels,software,Multi
621,template,The template for the pods created by a ReplicaSet or Deployment,software,Multi
625,image,The image used to create a container,software,Multi
626,ReplicaSets,A resource that ensures a specified number of replicas (pods) are running at any given time.,software,Multi
627,apiVersion,Specifies the API group and version for a Kubernetes resource.,software,Multi
628,Replication-Controller,A deprecated resource that was used to manage replicas (pods) in earlier versions of Kubernetes.,software,Multi
630,kubectl create,A command used to create a Kubernetes resource from a YAML file.,command,Multi
631,kubectl get,A command used to retrieve information about a Kubernetes resource.,command,Multi
632,kubectl describe,A command used to display detailed information about a Kubernetes resource.,command,Multi
633,rs,A shorthand for the replicaset resource type.,software,Multi
638,ReplicaSet,A Kubernetes resource that ensures a specified number of replicas (identical Pod templates) are running at any given time.,software,Multi
639,ReplicationController,A legacy Kubernetes resource that ensures a specified number of replicas (identical Pod templates) are running at any given time.,software,Multi
640,selector,A way to select pods based on labels and expressions.,software,Multi
641,matchLabels,A selector that matches pods with specific label values.,software,Multi
642,matchExpressions,A more expressive selector that allows for complex label matching.,software,Multi
